"Abundance","Biomass","Family","Genus","Species","SampleDescription","Plot","Latitude","Longitude","DepthElevation","Day","Month","Year","StudyID"
2,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Linyphiidae","Centromerita","concinna","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
18,"","Linyphiidae","Centromerus","dilutus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Centromerus","pabulator","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
8,"","Linyphiidae","Centromerus","prudens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
26,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
7,"","Linyphiidae","Dicymbium","nigrum","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
5,"","Linyphiidae","Diplocephalus","picinus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Erigone","atra","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Gonatium","rubens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Linyphiidae","Macrargus","rufus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
94,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
9,"","Linyphiidae","Microneta","viaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Minyriolus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
24,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
14,"","Linyphiidae","Palliduphantes","pallidus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Pocadicnemis","juncea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Linyphiidae","Pocadicnemis","pumila","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Porrhomma","campbelli","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
14,"","Linyphiidae","Saaristoa","abnormis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
6,"","Linyphiidae","Tenuiphantes","flavipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
15,"","Linyphiidae","Tenuiphantes","mengei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
7,"","Linyphiidae","Tenuiphantes","tenuis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Linyphiidae","Tiso","vagans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
4,"","Linyphiidae","Walckenaeria","acuminata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Linyphiidae","Walckenaeria","antica","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Linyphiidae","Walckenaeria","atrotibialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
9,"","Linyphiidae","Walckenaeria","cucullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
12,"","Linyphiidae","Walckenaeria","cuspidata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
20,"","Linyphiidae","Walckenaeria","dysderoides","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
12,"","Liocranidae","Agroeca","brunnea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
6,"","Liocranidae","Agroeca","proxima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
7,"","Liocranidae","Phrurolithus","festivus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
17,"","Lycosidae","Alopecosa","cuneata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
9,"","Lycosidae","Alopecosa","pulverulenta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
99,"","Lycosidae","Pardosa","lugubris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
31,"","Lycosidae","Pardosa","nigriceps","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
15,"","Lycosidae","Pardosa","prativaga","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
23,"","Lycosidae","Pardosa","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
5,"","Lycosidae","Pirata","hygrophilus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
55,"","Lycosidae","Trochosa","terricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Mimetidae","Ero","furcata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
23,"","Salticidae","Euophrys","frontalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
3,"","Salticidae","Neon","reticulatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Segestriidae","Segestria","senoculata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
2,"","Tetragnathidae","Pachygnatha","listeri","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Theridiidae","Enoplognatha","thoracica","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
8,"","Theridiidae","Euryopsis","flavomaculata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
6,"","Theridiidae","Robertus","lividus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
1,"","Thomisidae","Xysticus","audax","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
25,"","Zoridae","Zora","spinimana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1990","",50.931,5.626,"","","","1990",""
9,"","Agelenidae","Malthonica","picta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Clubionidae","Clubiona","diversa","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Clubionidae","Clubiona","subtilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Gnaphosidae","Drassyllus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Gnaphosidae","Gnaphosa","nigerrima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
5,"","Gnaphosidae","Haplodrassus","signifer","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Gnaphosidae","Micaria","pulicaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Gnaphosidae","Phaeocedus","braccatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
7,"","Gnaphosidae","Zelotes","latreillei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
6,"","Gnaphosidae","Zelotes","petrensis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
14,"","Gnaphosidae","Zelotes","subterraneus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
15,"","Hahniidae","Antistea","elegans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Hahniidae","Hahnia","montana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
5,"","Hahniidae","Hahnia","nava","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Agyneta","saxatilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
3,"","Linyphiidae","Agyneta","subtilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
10,"","Linyphiidae","Bathyphantes","gracilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
7,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
17,"","Linyphiidae","Centromerus","dilutus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
9,"","Linyphiidae","Centromerus","prudens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
7,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Diplostyla","concolor","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Drapetisca","socialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
27,"","Linyphiidae","Macrargus","rufus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
29,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Linyphiidae","Minyriolus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
22,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
4,"","Linyphiidae","Palliduphantes","pallidus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Pocadicnemis","pumila","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Linyphiidae","Stemonyphantes","lineatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
4,"","Linyphiidae","Tallusia","experta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Linyphiidae","Taranucnus","setosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Linyphiidae","Tenuiphantes","flavipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
4,"","Linyphiidae","Tenuiphantes","mengei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Tenuiphantes","tenebricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
3,"","Linyphiidae","Tenuiphantes","tenuis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
6,"","Linyphiidae","Walckenaeria","acuminata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Walckenaeria","atrotibialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Walckenaeria","cucullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
6,"","Linyphiidae","Walckenaeria","cuspidata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
5,"","Linyphiidae","Walckenaeria","dysderoides","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Linyphiidae","Walckenaeria","nudipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
21,"","Liocranidae","Agroeca","brunnea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Liocranidae","Phrurolithus","festivus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
5,"","Lycosidae","Alopecosa","cuneata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
34,"","Lycosidae","Alopecosa","pulverulenta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
37,"","Lycosidae","Pardosa","lugubris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
10,"","Lycosidae","Pardosa","nigriceps","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
8,"","Lycosidae","Pardosa","prativaga","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
11,"","Lycosidae","Pardosa","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
32,"","Lycosidae","Pirata","hygrophilus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
3,"","Lycosidae","Pirata","latitans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Lycosidae","Pirata","piraticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
4,"","Lycosidae","Trochosa","spinipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
30,"","Lycosidae","Trochosa","terricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Salticidae","Euophrys","frontalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Salticidae","Evarcha","arcuata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Salticidae","Evarcha","falcata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Salticidae","Neon","reticulatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
2,"","Theridiidae","Asagena","phalerata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
4,"","Theridiidae","Robertus","lividus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
1,"","Thomisidae","Xysticus","erraticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
9,"","Zoridae","Zora","spinimana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1991","",50.931,5.626,"","","","1991",""
17,"","Agelenidae","Malthonica","picta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Gnaphosidae","Drassodes","lapidosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
6,"","Gnaphosidae","Drassodes","pubescens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Gnaphosidae","Drassyllus","lutetianus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
3,"","Gnaphosidae","Drassyllus","pusillus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Gnaphosidae","Gnaphosa","nigerrima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Gnaphosidae","Haplodrassus","signifer","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Gnaphosidae","Micaria","pulicaria","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
16,"","Gnaphosidae","Zelotes","latreillei","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
5,"","Gnaphosidae","Zelotes","petrensis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Hahniidae","Antistea","elegans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Hahniidae","Hahnia","montana","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Aphileta","misera","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
6,"","Linyphiidae","Bathyphantes","gracilis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Linyphiidae","Bathyphantes","parvulus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Linyphiidae","Centromerita","bicolor","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Centromerita","concinna","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
4,"","Linyphiidae","Centromerus","dilutus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Centromerus","prudens","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
6,"","Linyphiidae","Centromerus","sylvaticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Linyphiidae","Cnephalocotes","obscurus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
17,"","Linyphiidae","Diplostyla","concolor","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
5,"","Linyphiidae","Macrargus","rufus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
6,"","Linyphiidae","Micrargus","herbigradus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
23,"","Linyphiidae","Palliduphantes","ericaeus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
11,"","Linyphiidae","Palliduphantes","pallidus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
46,"","Linyphiidae","Pocadicnemis","pumila","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
9,"","Linyphiidae","Tallusia","experta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
17,"","Linyphiidae","Taranucnus","setosus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Tenuiphantes","flavipes","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
6,"","Linyphiidae","Tenuiphantes","tenuis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
3,"","Linyphiidae","Walckenaeria","acuminata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Walckenaeria","antica","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
4,"","Linyphiidae","Walckenaeria","atrotibialis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Linyphiidae","Walckenaeria","cucullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
10,"","Linyphiidae","Walckenaeria","dysderoides","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
3,"","Linyphiidae","Walckenaeria","nodosa","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
5,"","Linyphiidae","Walckenaeria","nudipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
11,"","Liocranidae","Agroeca","brunnea","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Liocranidae","Agroeca","proxima","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
18,"","Liocranidae","Phrurolithus","festivus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
4,"","Lycosidae","Alopecosa","cuneata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
8,"","Lycosidae","Alopecosa","pulverulenta","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
5,"","Lycosidae","Hygrolycosa","rubrofasciata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
7,"","Lycosidae","Pardosa","lugubris","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
36,"","Lycosidae","Pardosa","nigriceps","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
41,"","Lycosidae","Pardosa","prativaga","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
14,"","Lycosidae","Pardosa","pullata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
23,"","Lycosidae","Pirata","hygrophilus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
7,"","Lycosidae","Pirata","latitans","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Lycosidae","Pirata","piraticus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
5,"","Lycosidae","Trochosa","ruricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
14,"","Lycosidae","Trochosa","spinipalpis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
23,"","Lycosidae","Trochosa","terricola","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Mimetidae","Ero","furcata","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Opilionidae","Lophopilio","palpinalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
1,"","Philodromidae","Thanatus","striatus","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
2,"","Salticidae","Euophrys","frontalis","LTER_HogeKempenNationalPark_Arachnids_50.931_5.626_1992","",50.931,5.626,"","","","1992",""
